city,population,latitude,longitude,crimes_total_count_2020,traffic_incidents_live_count,crime_index,safety_index
Lisbon,507220,38.7222524,-9.1393366,62354,26,28.16,71.84
Porto,215284,41.1579438,-8.629105299999999,31313,2,36.09,63.91
Cascais,212474,38.6967571,-9.4207438,13441,8,20.47,79.53
Loures,211359,38.831549,-9.1741095,13962,22,55.39,44.61
Braga,181919,41.5454486,-8.426506999999999,11713,7,31.66,68.34
Matosinhos,174382,41.1844362,-8.696277499999999,13006,2,9.19,90.81
Amadora,181724,38.7577603,-9.224547399999999,13054,27,52.89,47.11
Almada,168987,38.6765238,-9.165104699999999,14339,26,40.98,59.02
Oeiras,176218,38.69686069999999,-9.314601399999999,10273,25,12.23,87.77
Guimaraes,152792,41.44253,-8.2917857,7470,2,24.28,75.72
Odivelas,159602,38.795369,-9.185179999999999,8036,25,38.10,61.90
Coimbra,133724,40.2033145,-8.4102573,8235,0,19.94,80.06
Maia,137727,41.2278891,-8.621049,9569,2,16.67,83.33
Vila Nova de Famalicao,131738,41.41112589999999,-8.5237319,7335,0,26.96,73.04
Leiria,124857,39.74953310000001,-8.807682999999999,7007,0,23.38,76.62
Setubal,115758,38.5260437,-8.8909328,10030,0,41.10,58.90
Barcelos,116531,41.5320504,-8.6190525,5786,5,18.68,81.32
Funchal,104129,32.6669328,-16.9240554,7613,0,14.80,85.20
Viseu,96991,40.6565861,-7.9124712,5436,1,12.96,87.04
Viana do Castelo,84636,41.6918275,-8.8344101,5628,0,16.32,83.68
Torres Vedras,78220,39.0910112,-9.2597522,4598,0,13.97,86.03
Barreiro,75419,38.6608149,-9.0790724,7462,13,50.57,49.43
Aveiro,77916,40.6405055,-8.6537539,5814,8,25.97,74.03
Ponta Delgada,67864,37.7394207,-25.6686725,7182,0,19.12,80.88
Oliveira de Azemeis,66113,40.8387294,-8.4769763,3356,0,8.33,91.67
Faro,60974,37.0193548,-7.9304397,7156,0,28.48,71.52
Santarem,57398,39.2366618,-8.686011900000002,4004,0,53.43,46.57
Figueira da Foz,58866,40.1521398,-8.857583,3869,0,33.82,66.18
Evora,52454,38.571431,-7.913501999999999,2803,0,17.24,82.76
Amarante,53366,41.26963569999999,-8.0826488,2969,0,28.43,71.57
Castelo Branco,52192,39.8196165,-7.496513299999999,3391,0,10.54,89.46
Portimao,55416,37.13617,-8.5376926,4942,0,23.20,76.80
Vila Real,49868,41.3010351,-7.7422354,2838,0,13.97,86.03
Covilha,47127,40.2805633,-7.504327199999999,3115,0,19.49,80.51
Sesimbra,51559,38.44421699999999,-9.1014903,5047,0,12.50,87.50
Santa Cruz,44744,39.1340863,-9.3814444,1812,0,41.45,58.55
Guarda,39103,40.5308408,-7.2221421,1931,0,16.67,83.33
Chaves,39345,41.7410586,-7.470604599999999,2516,0,16.03,83.97
Albufeira,41123,37.0890719,-8.2478796,6304,0,28.82,71.18
Tomar,36902,39.6053819,-8.4043125,2339,0,22.06,77.94
Lagos,30442,37.1027881,-8.6730275,3112,0,65.37,34.63
Tavira,24750,37.1335906,-7.643001899999999,2374,0,12.87,87.13
Sao Joao da Madeira,21761,40.90052379999999,-8.490671599999999,1530,0,17.83,82.17
Horta,14542,38.5348447,-28.6299812,1446,0,17.16,82.84
Macao,6323,39.60433140000001,-7.981084500000001,286,0,24.97,75.03
